order_id,product_id,quantity,price,tax
12,224,8,139.42,0.12
13,213,1,160.6,0.16
2,203,7,110.37,0.15
16,223,3,195.11,0.17
20,227,1,142.84,0.09
2,202,9,98.17,0.08
18,226,6,51.94,0.1
16,212,2,137.4,0.1
9,222,5,157.04,0.14
14,201,2,33.96,0.11
8,209,2,51.42,0.07
5,202,2,161.18,0.18
11,214,8,108.05,0.09
18,202,2,146.01,0.07
15,216,7,69.62,0.05
1,210,7,12.79,0.08
2,229,6,85.17,0.06
1,206,5,23.27,0.1
6,200,1,76.49,0.2
20,221,7,7.1,0.17
18,219,1,101.18,0.11
15,216,7,146.39,0.08
14,224,10,156.83,0.06
12,217,10,155.57,0.14
6,222,2,185.42,0.19
13,203,5,51.63,0.15
16,200,10,79.41,0.1
13,215,7,194.34,0.1
18,203,1,72.84,0.16
20,203,4,139.4,0.12
17,200,7,5.5,0.1
3,211,2,127.59,0.14
7,217,5,166.73,0.08
4,214,9,155.38,0.19
10,219,7,70.1,0.06
15,216,8,99.85,0.16
11,209,6,119.29,0.11
4,225,7,92.08,0.13
6,205,9,127.88,0.13
14,203,10,164.57,0.09
3,208,8,108.3,0.13
17,226,4,43.05,0.19
1,203,7,154.72,0.19
17,223,10,70.83,0.06
5,207,10,156.33,0.05
5,227,3,95.14,0.15
4,229,9,115.97,0.07
15,219,10,105.19,0.15
17,216,9,27.97,0.1
2,206,8,101.87,0.13
14,202,3,86.46,0.17
3,211,9,104.12,0.08
3,202,5,19.59,0.19
17,215,10,25.87,0.14
13,219,2,98.93,0.1
11,224,1,80.8,0.1
14,205,8,180.74,0.1
7,218,1,111.21,0.12
6,205,1,159.54,0.09
17,227,10,139.0,0.16
